1871|4067
4803|1010
13886|8912
952|8135
15134|12477
5103|5140
13516|13384
13453|541
18691|14695
15724|19329
9770|8602
17402|15441
2371|8860
9384|5128
17262|2970
7854|8353
17589|16303
1407|2951
5672|18707
51|18994
9650|19994
6075|1762
9921|19311
10195|3524
14456|2648
8334|14890
13954|19998
1979|7938
8044|16756
5053|10831
7944|6356
7745|1211
12314|9864
17335|1890
6575|8374
1410|3313
7252|3083
18031|9911
15224|12507
295|7319
13217|174
12646|6929
3741|19815
4188|16826
3298|12598
3834|11433
3273|16556
13831|17203
5983|11992
3911|19119
