213|847
1221|210
856|1856
964|1694
2389|2598
1750|1070
2053|2787
2450|112
2939|588
2033|1791
1356|2234
2223|2121
2052|2783
2392|1739
336|2985
973|198
1593|1099
127|367
11|2770
1252|1391
6|159
2539|2013
906|1653
85|1553
2433|1974
368|1261
1549|1716
2234|2720
2995|1671
1110|2728
1193|1474
1149|1521
136|2605
1088|1524
1132|36
793|1443
1014|2197
2623|2623
721|2381
220|1856
2372|2404
2618|1180
2929|1109
2961|1290
2916|276
424|971
2979|1563
538|2896
2770|578
2654|52
